Species,Owner,Country.of.Origin,Company,Altitude,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Month,Grading.Year,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration.Month,Expiration.Year,Certification.Body
Arabica,Exportadora de Cafe Condor S.A,Colombia,exportadora de cafe condor s.a,1800,huila,,275,70,Almacafé,2013,July,2013,Caturra,Washed / Wet,7.75,7.58,7.33,7.83,7.58,8.08,10,10,10,8.17,84.33,0,0,0,Green,0,July,2014,Almacafé
Arabica,VICTOR HUGO MELCHOR CORDOVA,Mexico,,1700,tuxtla gutierrez,VICTOR HUGO MELCHOR CORDOVA,100,80,AMECAFE,2012,July,2012,Typica,Washed / Wet,8,7.75,7.75,7.83,7.5,7.67,10,10,10,7.83,84.33,0.12,0,0,Blue-Green,1,July,2013,AMECAFE
Arabica,NUCOFFEE,Brazil,,1275,vale da grama,Lucia Maria da Silva Dias,75,60,NUCOFFEE,2011,October,2011,Yellow Bourbon,,8.17,8,7.5,7.75,7.5,7.67,10,10,10,7.75,84.33,0,0,0,,4,October,2012,NUCOFFEE
Arabica,NUCOFFEE,Brazil,,1050,south of minas,Antônio Pelucio,80,60,NUCOFFEE,2011,October,2011,,,8,8,7.5,7.5,7.67,7.75,10,10,10,7.92,84.33,0.02,0,0,,2,October,2012,NUCOFFEE
Arabica,Benjamin Schmerler,Ethiopia,,1494,limu,Oromia Coffee Farmers Cooperative Union,1,132,Specialty Coffee Association,,June,2011,,,7.75,7.75,7.92,7.75,7.5,7.92,10,10,10,7.75,84.33,0,0,0,,1,June,2012,Specialty Coffee Association
Arabica,The Coffee Source Inc.,Guatemala,,1387,nuevo oriente,Miguel Hernandez,250,1,Specialty Coffee Association,2010,April,2010,,,7.5,7.67,7.75,7.67,7.92,7.92,10,10,10,7.92,84.33,0.04,1,0,,1,April,2011,Specialty Coffee Association
Arabica,"Lin, Che-Hao Krude 林哲豪",Taiwan,taiwan coffee laboratory,1000,國姓鄉 guoshing township,黃美桃 Huang Mei Tao,10,5,Specialty Coffee Association,2016,August,2017,Typica,Washed / Wet,7.92,7.75,7.75,7.67,7.67,7.83,10,10,10,7.67,84.25,0.12,0,0,Blue-Green,0,August,2018,Specialty Coffee Association
Arabica,松澤宏樹 Koju Matsuzawa,Thailand,matsuzawa coffee,1200,chiang rai thailand,Matsuzawa Coffee,20,25,Specialty Coffee Institute of Asia,2015,November,2016,Catimor,Natural / Dry,7.83,7.75,7.75,7.42,7.83,7.67,10,10,10,8,84.25,0.12,0,0,Green,0,November,2017,Specialty Coffee Institute of Asia
Arabica,CARCAFE LTDA CI,Colombia,carcafe ltda,780,nariño,JOSE ALBEIRO GOMEZ,275,70,Almacafé,2016,August,2016,Caturra,Natural / Dry,7.83,7.58,7.75,7.58,7.67,8,10,10,10,7.83,84.25,0.11,0,0,Green,2,August,2017,Almacafé
Arabica,Juan Luis Alvarado Romero,Guatemala,"siembras vision, s.a.",1500,antigua,FINCA MEDINA,230,69,Asociacion Nacional Del Café,2016,May,2016,Caturra,Washed / Wet,7.75,7.75,7.58,7.92,7.75,7.75,10,10,10,7.75,84.25,0.11,0,4,Green,4,May,2017,Asociacion Nacional Del Café
Arabica,Juan Luis Alvarado Romero,Guatemala,exportcafe,1099,huehuetenango,HORACIO CIFUENTES MARTINEZ,275,69,Asociacion Nacional Del Café,2015,April,2016,Caturra,Washed / Wet,7.75,7.92,7.5,8.08,7.58,7.67,10,10,10,7.75,84.25,0.1,0,0,Green,1,April,2017,Asociacion Nacional Del Café
Arabica,Yunnan Coffee Exchange,China,yunnan coffee exchange,1400,yunnan,Menglian County Nayun Town Mangzhang Coffee Farm,3,60,Yunnan Coffee Exchange,2015,April,2016,Catimor,Natural / Dry,7.83,7.83,7.58,7.75,7.75,7.75,10,10,10,7.75,84.25,0.1,0,0,Green,1,April,2017,Yunnan Coffee Exchange
Arabica,Racafe & Cia S.C.A,Colombia,racafe & cia s.c.a,1775,huila,La Plata,275,70,Almacafé,2015,November,2015,Caturra,Washed / Wet,7.67,7.67,7.75,7.75,7.67,7.92,10,10,10,7.83,84.25,0.11,0,0,Green,3,November,2016,Almacafé
Arabica,Racafe & Cia S.C.A,Colombia,racafe & cia s.c.a,1775,huila,La Plata,248,70,Almacafé,2015,October,2015,Caturra,Washed / Wet,7.83,7.67,7.75,7.58,7.92,7.75,10,10,10,7.75,84.25,0.12,4,0,Green,2,October,2016,Almacafé
Arabica,Federacion Nacional de Cafeteros,Colombia,federacion nacional de cafeteros,1800,cauca,,275,2,Almacafé,2015,June,2015,Other,Washed / Wet,7.83,7.75,7.83,7.58,7.67,7.75,10,10,10,7.83,84.25,0.12,0,0,Green,0,June,2016,Almacafé
Arabica,CARCAFE LTDA CI,Colombia,carcafe ltda,442,huila,FRANKLIN DUSSAN/ANDRES RODRIGUEZ/HIPOLITO TORRES,250,70,Almacafé,2015,April,2015,Caturra,Natural / Dry,7.42,7.67,7.83,7.75,7.92,7.83,10,10,10,7.83,84.25,0.12,3,0,Green,0,April,2016,Almacafé
Arabica,Tembo Coffee Company Ltd,"Tanzania, United Republic Of",tembo coffee company ltd,1620,shizingo village,Tembo Coffee Company Ltd,10,60,Africa Fine Coffee Association,2014,December,2014,Other,Washed / Wet,7.83,7.67,7.75,7.83,7.67,7.67,10,10,10,7.83,84.25,0.12,0,0,Green,7,December,2015,Africa Fine Coffee Association
Arabica,Taylor Winch (T) Ltd,"Tanzania, United Republic Of",taylor winch (t) ltd,1600,mbeya,Taylor Winch (T) ltd,65,60,Africa Fine Coffee Association,2014,December,2014,Other,Washed / Wet,7.83,7.75,7.75,7.75,7.67,7.75,10,10,10,7.75,84.25,0.12,0,0,Green,2,December,2015,Africa Fine Coffee Association
Arabica,Juan Luis Alvarado Romero,Guatemala,"unex guatemala, s.a.",1219,oriente,AMILCAR LAPOLA,250,69,Asociacion Nacional Del Café,2014,August,2014,Bourbon,Other,7.83,7.83,7.5,7.92,7.58,7.75,10,10,10,7.83,84.25,0.1,0,0,Green,1,August,2015,Asociacion Nacional Del Café
Arabica,Exportadora de Cafe Condor S.A,Colombia,exportadora de cafe condor s.a,1700,cauca,,250,70,Almacafé,2013,October,2013,Caturra,Washed / Wet,7.58,7.5,7.75,7.83,7.92,7.83,10,10,10,7.83,84.25,0.11,0,0,Green,2,October,2014,Almacafé
Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),kona pacific farmers cooperative,,kona,,7,100,Specialty Coffee Association,2012,December,2012,Hawaiian Kona,Natural / Dry,7.33,7.92,7.92,7.92,7.92,8.08,10,10,9.33,7.83,84.25,0.11,1,0,Bluish-Green,1,December,2013,Specialty Coffee Association
Arabica,JESUS SALAZAR VELASCO,Mexico,carajillo café sa de cv,1450,san pedro cotzilnam,JESUS SALAZAR VELASCO,10,1,AMECAFE,2012,September,2012,Typica,Semi-washed / Semi-pulped,7.83,7.92,7.67,7.83,7.5,7.75,10,10,10,7.75,84.25,0.12,0,0,Green,1,September,2013,AMECAFE
Arabica,MANUEL HERRERA JUAREZ,Mexico,,1170,veracruz,MANUEL HERRERA JUAREZ,20,1,AMECAFE,2012,April,2012,Bourbon,Washed / Wet,7.83,7.83,7.75,7.67,7.83,7.58,10,10,10,7.75,84.25,0.12,0,0,Green,0,April,2013,AMECAFE
Arabica,ALFREDO BOJALIL,Mexico,ecomtrading,1400,"la concordia, chiapas",ERNST POHLENZ AGUILAR,250,1,AMECAFE,2012,April,2012,Bourbon,Washed / Wet,7.83,7.92,7.67,7.75,7.5,7.75,10,10,10,7.83,84.25,0.1,0,0,Bluish-Green,4,April,2013,AMECAFE
Arabica,AFCA,Uganda,bukonzo joint cfs,1700,kasese,,1,60,Africa Fine Coffee Association,2012,February,2012,Other,Natural / Dry,8.17,7.75,7.58,7.67,7.83,7.58,10,10,10,7.67,84.25,0.13,4,0,Green,29,February,2013,Africa Fine Coffee Association
Arabica,Juan Luis Alvarado Romero,Guatemala,"unex guatemala, s.a.",1700,san marcos,JORGE LEAL,50,69,Asociacion Nacional Del Café,2017,June,2017,Bourbon,Washed / Wet,7.75,7.83,7.58,7.83,7.67,7.75,10,10,10,7.75,84.17,0.13,0,0,Green,1,June,2018,Asociacion Nacional Del Café
Arabica,Racafe & Cia S.C.A,Colombia,racafe & cia s.c.a,,huila,La Plata,250,70,Almacafé,2016,August,2016,Caturra,Washed / Wet,7.83,7.75,7.58,7.67,7.75,7.83,10,10,10,7.75,84.17,0,0,0,Green,2,August,2017,Almacafé
Arabica,Wayner Jimenez,Costa Rica,exclusive coffee - costa rica,1700,tarrazu,Los Angeles Micro-Mill (Ricardo Calderón),150,69,Specialty Coffee Association of Costa Rica,2016,August,2016,Caturra,Washed / Wet,7.92,7.75,7.67,7.67,7.5,7.67,10,10,10,8,84.17,0.09,0,0,Bluish-Green,2,August,2017,Specialty Coffee Association of Costa Rica
Arabica,Juan Luis Alvarado Romero,Guatemala,exportcafe,1117,huehuetenango,DARY COLMAN ALVARADO VILLATORO,275,69,Asociacion Nacional Del Café,2016,June,2016,Caturra,Washed / Wet,7.75,7.75,7.58,8,7.67,7.83,10,10,10,7.58,84.17,0.11,0,0,Green,6,June,2017,Asociacion Nacional Del Café
Arabica,Juan Luis Alvarado Romero,Guatemala,cafcom,1565,solola,FERNANDO FAHSEN,377,69,Asociacion Nacional Del Café,2016,June,2016,Caturra,Washed / Wet,7.75,7.92,7.58,7.92,7.67,7.67,10,10,10,7.67,84.17,0.1,0,1,Green,10,June,2017,Asociacion Nacional Del Café
Arabica,Juan Luis Alvarado Romero,Guatemala,"unex guatemala, s.a.",1000,norte,CHAPULTEPEC,130,69,Asociacion Nacional Del Café,2016,June,2016,Bourbon,Washed / Wet,7.58,7.83,7.58,7.83,7.83,7.67,10,10,10,7.83,84.17,0.1,0,0,Green,2,June,2017,Asociacion Nacional Del Café
Arabica,Racafe & Cia S.C.A,Colombia,racafe & cia s.c.a,1775,huila,La Plata,275,70,Almacafé,2015,August,2015,Caturra,Washed / Wet,8,7.5,7.5,7.67,8,7.83,10,10,10,7.67,84.17,0,0,0,Bluish-Green,0,August,2016,Almacafé
Arabica,COOPERATIVA EL GORRION R.L,Nicaragua,cooperativa el gorrion r.l,1000,jinotega,COOPERATIVA EL GORRION RL,275,2,Specialty Coffee Association of Costa Rica,2015,August,2015,Caturra,Natural / Dry,7.67,7.83,7.83,7.5,7.67,7.83,10,10,10,7.83,84.17,0.12,0,0,Bluish-Green,0,August,2016,Specialty Coffee Association of Costa Rica
Arabica,Cafebras,Brazil,cafebras comercio de cafés do brasil sa,1150,cerrado,MAURO GALHERI,305,59,Brazil Specialty Coffee Association,2015,April,2015,Catuai,Natural / Dry,7.67,7.75,7.75,7.67,7.83,7.75,10,10,10,7.75,84.17,0,0,0,,16,April,2016,Brazil Specialty Coffee Association
Arabica,"CECA,S.A.",Costa Rica,"ceca,s.a.",1850,tarrazu,Martin Gutierrez,320,69,Specialty Coffee Ass,2014,April,2015,Caturra,Washed / Wet,7.67,7.75,7.67,7.75,7.5,8,10,10,10,7.83,84.17,0,0,0,Blue-Green,0,April,2016,Specialty Coffee Association of Costa Rica
Arabica,Asefa Dukamo Keroma,Ethiopia,asefa dukamo coffee plantetion,1607,snnprg; kafa; telo woreda; shada kebele,Tariku Oljira,320,60,METAD Agricultural Development plc,2014,March,2015,Gesha,Natural / Dry,7.5,7.92,7.58,7.83,7.75,7.83,10,10,10,7.75,84.17,0.1,0,0,Green,5,March,2016,METAD Agricultural Development plc
Arabica,Selian Coffee Estate,"Tanzania, United Republic Of",selian coffee estate,1400,arusha,Selian Coffee Estate,10,60,Africa Fine Coffee Association,2014,December,2014,Other,Washed / Wet,7.92,7.75,7.75,7.75,7.75,7.58,10,10,10,7.67,84.17,0.13,0,0,Green,0,December,2015,Africa Fine Coffee Association
Arabica,Olam Agro Colombia,Colombia,olam international ltd,1530,huila,,250,1,Almacafé,2014,October,2014,Other,Washed / Wet,7.67,7.5,7.67,7.42,7.83,8.58,10,10,10,7.5,84.17,0.12,0,0,Green,4,October,2015,Almacafé
Arabica,Chris Finch,Guatemala,volcafe specialty coffee,,,,275,5,Specialty Coffee Association,2013,July,2014,,Washed / Wet,7.67,7.75,7.67,7.75,7.75,7.75,10,10,10,7.83,84.17,0.11,0,0,Bluish-Green,0,July,2015,Specialty Coffee Association
Arabica,ITOCHU Corporation,Kenya,taylor winch (coffee) ltd,1499,kenya,,300,18000,Kenya Coffee Traders Association,2013,November,2013,SL28,Washed / Wet,7.58,7.75,7.75,7.75,7.75,7.83,10,10,10,7.75,84.17,0.08,0,0,Green,0,November,2014,Kenya Coffee Traders Association
Arabica,Owen Carver,Brazil,café do paraíso,1039,"minas gerais, br",Café do Paraíso,1,2,Specialty Coffee Association,2012,May,2013,Mundo Novo,Natural / Dry,7.58,7.83,7.75,7.67,7.67,8,10,10,10,7.67,84.17,0.11,0,0,Green,3,May,2014,Specialty Coffee Association
Arabica,Juan Luis Alvarado Romero,Guatemala,"unex guatemala, s.a.",1311,oriente,"AGRICOLA MONTE VERDE, S.A.",250,69,Asociacion Nacional Del Café,2013,May,2013,Bourbon,Washed / Wet,7.92,7.75,7.67,7.67,7.83,7.92,10,10,10,7.42,84.17,0.11,0,0,Green,4,May,2014,Asociacion Nacional Del Café
Arabica,Atlantic Specialty Coffee,El Salvador,atlantic specialty coffee,1500,apaneca,Aida Batlle,275,2,Specialty Coffee Association,2013,March,2013,Bourbon,Natural / Dry,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10,10,7.92,84.17,0.11,0,0,Bluish-Green,2,March,2014,Specialty Coffee Association
Arabica,Exportadora de Cafe Condor S.A,Colombia,exportadora de cafe condor s.a,1750,huila,,250,70,Almacafé,2012,October,2012,Caturra,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.75,10,10,10,7.58,84.17,0,0,0,Green,2,October,2013,Almacafé
Arabica,Juan Luis Alvarado Romero,Guatemala,unicafe,,guatemala,WILLIAM ESTUARDO MARTINEZ PACHECO,275,1,Asociacion Nacional Del Café,2012,March,2012,Catuai,Natural / Dry,7.83,7.5,7.5,8,7.83,7.83,10,10,10,7.67,84.17,0.11,0,0,Bluish-Green,2,March,2013,Asociacion Nacional Del Café
Arabica,AFCA,Uganda,great lakes coffee,1600,mt. rwenzori,,320,60,Africa Fine Coffee Association,2012,February,2012,Other,Washed / Wet,7.83,7.75,7.5,7.83,7.83,7.75,10,10,10,7.67,84.17,0.11,0,0,Green,1,February,2013,Africa Fine Coffee Association
Arabica,PT.ROYAL PACIFIC INDAH INTERNATIONAL,Indonesia,pt. royal pacific indah international,,aceh tengah,ANTON GAYO,2,2,Specialty Coffee Association of Indonesia,2017,May,2017,Mandheling,Natural / Dry,7.81,7.88,7.56,7.75,7.63,7.75,10,10,10,7.75,84.13,0.12,0,0,Bluish-Green,0,May,2018,Specialty Coffee Association of Indonesia
Arabica,CARCAFE LTDA CI,Colombia,carcafe ltda,442,huila,FRANKLIN DUSSAN / HIPOLITO TORRES,275,70,Almacafé,2017,November,2017,Caturra,Washed / Wet,7.83,7.5,7.42,7.5,7.83,8.5,10,10,10,7.5,84.08,0,1,3,Green,3,November,2018,Almacafé
Arabica,"Lin, Che-Hao Krude 林哲豪",Taiwan,taiwan coffee laboratory,968,"nanxi dist., tainan city 臺南市楠西區",CHANG YU LIANG 張玉良,10,20,Specialty Coffee Association,2016,May,2016,Typica,Washed / Wet,7.58,7.67,7.67,7.67,7.75,7.83,10,10,10,7.92,84.08,0.1,0,0,Bluish-Green,4,May,2017,Specialty Coffee Association
Arabica,Juan Luis Alvarado Romero,Guatemala,"unex guatemala, s.a.",,oriente,MARGARITA AVILA DE NUYENS,50,69,Asociacion Nacional Del Café,2016,April,2016,Bourbon,Washed / Wet,8,7.75,7.5,7.58,7.92,7.67,10,10,10,7.67,84.08,0.1,0,0,Green,4,April,2017,Asociacion Nacional Del Café
Arabica,Racafe & Cia S.C.A,Colombia,racafe & cia s.c.a,1775,huila,La Plata,200,70,Almacafé,2014,November,2014,Caturra,Washed / Wet,7.92,7.75,7.67,7.75,7.67,7.67,10,10,10,7.67,84.08,0,0,0,,2,November,2015,Almacafé
Arabica,LUSSO LAB,Guatemala,lusso coffee lab,1550,"aldea xeucalvitz, ixil region, quiche department",Asociacion de Productores de Cafe de la Region Ixil,1,2,Specialty Coffee Association,2014,June,2014,Bourbon,Washed / Wet,7.58,7.75,7.67,8,7.75,7.67,10,10,10,7.67,84.08,0.1,0,0,Bluish-Green,10,June,2015,Specialty Coffee Association
Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),kona pacific farmers cooperative,,kona,,14,100,Specialty Coffee Association,2012,January,2013,Hawaiian Kona,Natural / Dry,7.83,7.75,7.83,7.83,7.42,8.08,9.33,10,10,8,84.08,0.11,1,0,Green,9,January,2014,Specialty Coffee Association
Arabica,ANDRES MARTINEZ LEON,Mexico,,1480,santo domingo cacalotepec,ANDRES MARTINEZ LEON,300,1,AMECAFE,2012,September,2012,Typica,Washed / Wet,7.67,7.75,7.67,7.75,7.67,7.75,10,10,10,7.83,84.08,0.11,1,0,Green,10,September,2013,AMECAFE
Arabica,Steven Kil,Ethiopia,the specialty coffee appraisers institute of asia,1800,"ethiopia, sidamo",,100,60,Specialty Coffee Association,2012,August,2012,Other,Natural / Dry,7.92,7.92,7.83,8,7.92,7.92,10,10,8.67,7.92,84.08,0.09,0,0,,15,August,2013,Specialty Coffee Association
Arabica,Amanda Powers,Costa Rica,thrive farmers,,,,275,150,Specialty Coffee Association,2017,January,2018,,Washed / Wet,7.58,7.75,7.67,7.75,7.83,7.75,10,10,10,7.67,84,0.08,1,2,None,13,January,2019,Specialty Coffee Association
Arabica,Kyagalanyi Coffee Ltd,Ethiopia,kyagalanyi coffee ltd,1800,sidamo,Kerchanshe Trading P.L.C,320,60,Uganda Coffee Development Authority,2017,June,2017,Gesha,Natural / Dry,7.83,7.75,7.67,7.75,7.33,7.75,10,10,10,7.92,84,0.11,3,11,Green,1,June,2018,Uganda Coffee Development Authority
Arabica,Bismarck Castro,Honduras,cigrah s.a de c.v,1500,comayagua,Nahun Maldonado,275,66,Instituto Hondureño del Café,2017,May,2017,Caturra,Washed / Wet,7.42,7.83,7.75,7.92,7.75,7.58,10,10,10,7.75,84,0.1,0,0,Green,5,May,2018,Instituto Hondureño del Café
Arabica,Juan Luis Alvarado Romero,Guatemala,exportcafe,1707,huehuetenango,OTONIEL VILLATORO LOPEZ,275,69,Asociacion Nacional Del Café,2015,June,2015,Caturra,Washed / Wet,7.67,7.83,7.58,7.92,7.75,7.67,10,10,10,7.58,84,0.12,0,0,Green,7,June,2016,Asociacion Nacional Del Café
Arabica,Olam Agro Colombia,Colombia,olam international ltd,1600,huila,,250,1,Almacafé,2014,December,2014,Other,Washed / Wet,7.67,7.67,7.83,7.58,7.58,7.83,10,10,10,7.83,84,0.11,2,0,Green,7,December,2015,Almacafé
Arabica,Juan Luis Alvarado Romero,Guatemala,"unex guatemala, s.a.",1219,oriente,AMILCAR LAPOLA,250,69,Asociacion Nacional Del Café,2014,August,2014,Bourbon,Natural / Dry,7.92,7.67,7.42,7.92,7.75,7.83,10,10,10,7.5,84,0.1,0,0,Green,1,August,2015,Asociacion Nacional Del Café
Arabica,Juan Luis Alvarado Romero,Guatemala,"unex guatemala, s.a.",1219,oriente,AMILCAR LAPOLA,250,69,Asociacion Nacional Del Café,2014,June,2014,Bourbon,Other,7.75,7.83,7.5,7.83,7.58,7.67,10,10,10,7.83,84,0.1,0,0,Green,0,June,2015,Asociacion Nacional Del Café
Arabica,Olam Agro Colombia,Colombia,olam international ltd,1480,huila,,250,1,Almacafé,2014,May,2014,,Washed / Wet,7.67,7.75,7.67,7.67,7.67,7.75,10,10,10,7.83,84,0.12,0,0,Green,0,May,2015,Almacafé
Arabica,Compañia Colombiana Agroindustrial S.A,Colombia,ecom cca sa,1450,santander,,250,70,Almacafé,2014,May,2014,Caturra,Natural / Dry,7.58,7.42,7.75,7.92,7.75,7.92,10,10,10,7.67,84,0.12,0,0,Green,0,May,2015,Almacafé
Arabica,Racafe & Cia S.C.A,Colombia,racafe & cia s.c.a,1775,huila,La Plata,138,70,Almacafé,2014,April,2014,Caturra,Washed / Wet,7.67,7.67,7.5,7.5,7.67,7.67,10,10,10,8.33,84,0.12,0,0,Green,3,April,2015,Almacafé
Arabica,LUSSO LAB,Ethiopia,lusso coffee lab,1550,sidamo,,50,60,Specialty Coffee Association,2013,January,2014,Other,Natural / Dry,7.75,7.75,7.5,7.58,7.67,7.92,10,10,10,7.83,84,0.09,4,0,Green,40,January,2015,Specialty Coffee Association
Arabica,Ipanema Coffees,Brazil,ipanema coffees,1260,south of minas,Ipanema Coffees,320,60,Specialty Coffee Association,2013,January,2014,Yellow Bourbon,Natural / Dry,7.58,7.83,7.67,7.25,8,7.75,10,10,10,7.92,84,0.1,0,0,Green,0,January,2015,Specialty Coffee Association
Arabica,Exportadora de Cafe Condor S.A,Colombia,exportadora de cafe condor s.a,1700,cauca,,270,70,Almacafé,2013,June,2013,Caturra,Washed / Wet,7.67,7.83,7.67,7.75,7.67,7.75,10,10,10,7.67,84,0.11,0,0,Green,1,June,2014,Almacafé
Arabica,Ibero Kenya Limited,Kenya,ibero kenya limited,1201,blend,Blend of various producers,300,60,Kenya Coffee Traders Association,2012,March,2013,SL34,Washed / Wet,7.67,7.83,7.5,7.75,7.92,7.67,10,10,10,7.67,84,0,0,0,Green,2,March,2014,Kenya Coffee Traders Association
Arabica,Doi Tung Development Project,Thailand,mae fah luang foundation,,thailand,Doi Tung Development Project,2,1,Specialty Coffee Association,2012,June,2012,Other,Washed / Wet,7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,8.42,84,0.12,0,0,Green,0,June,2013,Specialty Coffee Association
Arabica,Taylor Winch (Coffee) Ltd.,Kenya,taylor winch (coffee) ltd,1650,central kenya,-,150,9000,Kenya Coffee Traders Association,2012,May,2012,SL28,Washed / Wet,7.67,7.75,7.67,7.75,7.83,7.67,10,10,10,7.67,84,0,0,0,Bluish-Green,0,May,2013,Kenya Coffee Traders Association
Arabica,AFCA,Uganda,bukonzo joint cfs,1700,kasese,,320,60,Africa Fine Coffee Association,2012,February,2012,Other,Washed / Wet,7.92,7.75,7.58,7.67,7.67,7.83,10,10,10,7.58,84,0.1,10,0,Green,26,February,2013,Africa Fine Coffee Association
Arabica,Doi Tung Development Project,Thailand,,,,,1,60,Specialty Coffee Association,2011,August,2011,,,7.58,7.75,7.58,7.75,7.58,7.75,10,10,10,8,84,0.06,0,0,,0,August,2012,Specialty Coffee Association
Arabica,Ipanema Coffees,Brazil,ipanema coffees,890,south of minas,Ipanema Agricola S.A,320,60,Brazil Specialty Coffee Association,2017,October,2017,Bourbon,Natural / Dry,7.5,7.75,7.58,7.5,7.58,7.5,10,10,10,8.5,83.92,0,0,0,Green,3,October,2018,Brazil Specialty Coffee Association
Arabica,CAFES TOMARI SA DE CV,Mexico,cafes tomari sa de cv,1300,veracruz,CAFES TOMARI SA DE CV,200,69,Centro Agroecológico del Café A.C.,2017,July,2017,Mundo Novo,Washed / Wet,7.83,7.83,7.58,7.92,7.42,7.5,10,10,10,7.83,83.92,0.11,0,0,Green,5,July,2018,Centro Agroecológico del Café A.C.
Arabica,Sarawut Premjit,Thailand,intercof 1978 group company limited,1350,chiangrai,"Phatang, Saveg",45,40,Specialty Coffee Association,2015,October,2016,Catimor,Natural / Dry,7.67,7.75,7.5,7.67,7.67,7.83,10,10,10,7.83,83.92,0.1,0,0,Bluish-Green,1,October,2017,Specialty Coffee Association
Arabica,Ipanema Coffees,Brazil,ipanema coffees,934,south of minas,Ipanema Agricola,320,60,Brazil Specialty Coffee Association,2016,August,2016,Bourbon,Natural / Dry,7.58,7.67,7.67,7.75,7.58,7.83,10,10,10,7.83,83.92,0.11,0,2,Green,7,August,2017,Brazil Specialty Coffee Association
Arabica,"Lin, Che-Hao Krude 林哲豪",Taiwan,taiwan coffee laboratory,1200,"leye, alishan township, chiayi county 嘉義阿里山樂野村","FANG,ZHENG-LUN 方政倫",20,50,Specialty Coffee Association,2015,May,2016,Typica,Washed / Wet,7.83,7.75,7.83,7.75,7.83,7.75,9.33,10,10,7.83,83.92,0.11,0,0,Green,3,May,2017,Specialty Coffee Association
Arabica,CARCAFE LTDA CI,Colombia,carcafe ltda,442,huila,FRANKLIN DUSSAN / HIPOLITO TORRES,250,70,Almacafé,2016,February,2016,,,7.75,7.67,7.5,7.75,7.83,7.75,10,10,10,7.67,83.92,0.11,1,0,Green,2,February,2017,Almacafé
Arabica,ALMACAFE,Colombia,racafe & cia s.c.a,,la plata,,226,70,Almacafé,2016,January,2016,,,7.75,7.58,7.5,7.83,7.75,7.92,10,10,10,7.58,83.92,0,1,3,,5,January,2017,Almacafé
Arabica,CQI Taiwan ICP CQI台灣合作夥伴,Taiwan,宸嶧國際,,台灣,YANG TENG KO楊登嵙,1,2,Blossom Valley International,2014,November,2015,,Natural / Dry,7.75,7.75,7.58,7.75,7.75,7.67,10,10,10,7.67,83.92,0,0,0,Blue-Green,0,November,2016,Blossom Valley International
Arabica,Federacion Nacional de Cafeteros,Colombia,federacion nacional de cafeteros,,huila,,275,2,Almacafé,2015,August,2015,,Washed / Wet,7.92,7.67,7.5,7.83,7.58,7.67,10,10,10,7.75,83.92,0,0,0,,0,August,2016,Almacafé
Arabica,Federacion Nacional de Cafeteros,Colombia,federacion nacional de cafeteros,,huila,,275,2,Almacafé,2014,March,2015,,Washed / Wet,7.83,7.75,7.58,7.58,7.75,7.75,10,10,10,7.67,83.92,0,1,0,None,1,March,2016,Almacafé
Arabica,Racafe & Cia S.C.A,Colombia,racafe & cia s.c.a,1775,huila,La Plata,275,70,Almacafé,2014,December,2014,Caturra,Washed / Wet,7.75,7.58,7.67,7.83,7.83,7.67,10,10,10,7.58,83.92,0,0,0,Green,1,December,2015,Almacafé
Arabica,CQI Taiwan ICP CQI台灣合作夥伴,Taiwan,宸嶧國際,950,台中和平區,張瑞宏,10,60,Blossom Valley International,2014,November,2014,Typica,Washed / Wet,8,7.92,7.92,7.92,7.67,7.33,10,10,10,7.17,83.92,0.06,0,0,Green,0,November,2015,Blossom Valley International
Arabica,Compañia Colombiana Agroindustrial S.A,Colombia,ecom cca sa,1550,santander,,250,70,Almacafé,2014,January,2014,Caturra,Natural / Dry,7.67,7.83,7.67,7.75,7.67,7.83,10,10,10,7.5,83.92,0.12,0,0,Green,3,January,2015,Almacafé
Arabica,OSCAR ORTEGA CARBALLO,Mexico,agro xicotepec 2000,900,xicotepec de juarez,OSCAR ORTEGA CARBALLO,48,1,AMECAFE,2012,July,2012,Typica,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.83,10,10,10,7.67,83.92,0.12,10,0,Blue-Green,32,July,2013,AMECAFE
Arabica,ALFREDO BOJALIL,Mexico,ecomtrading,1500,la concordia,ARTURO LIEVANO MORENO,250,1,AMECAFE,2012,June,2012,Typica,Washed / Wet,7.5,7.67,7.58,7.83,7.75,7.75,10,10,10,7.83,83.92,0.11,0,0,,2,June,2013,AMECAFE
Arabica,ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE,Mexico,organizaciones de productores de cafe colimense sa de cv,1400,la yerbabuena,coop,20,1,AMECAFE,2012,April,2012,Typica,Washed / Wet,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10,10,7.75,83.92,0,0,0,Green,2,April,2013,AMECAFE
